127.0.0.1 - - [26/Oct/2022:10:06:56 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [26/Oct/2022:10:06:57 +0900] "GET /w1026/w1026_01.html HTTP/1.1" 200 292
0:0:0:0:0:0:0:1 - - [26/Oct/2022:10:06:57 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [26/Oct/2022:10:09:31 +0900] "GET /w1026/w1026_01.html HTTP/1.1" 200 293
0:0:0:0:0:0:0:1 - - [26/Oct/2022:10:11:42 +0900] "GET /w1026/w1026_01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Oct/2022:10:11:46 +0900] "GET /w1026/w1026_01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Oct/2022:10:11:47 +0900] "GET /w1026/w1026_01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Oct/2022:10:11:47 +0900] "GET /w1026/w1026_01.html HTTP/1.1" 200 433
0:0:0:0:0:0:0:1 - - [26/Oct/2022:10:11:47 +0900] "GET /w1026/w1026_01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Oct/2022:10:12:25 +0900] "GET /w1026/w1026_01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Oct/2022:10:12:33 +0900] "GET /w1026/w1026_01.html HTTP/1.1" 200 434
0:0:0:0:0:0:0:1 - - [26/Oct/2022:10:15:00 +0900] "GET /w1026/w1026_01.html HTTP/1.1" 200 748
0:0:0:0:0:0:0:1 - - [26/Oct/2022:10:15:18 +0900] "GET /w1026/w1026_01.html HTTP/1.1" 200 752
0:0:0:0:0:0:0:1 - - [26/Oct/2022:10:15:32 +0900] "GET /w1026/w1026_01.html HTTP/1.1" 200 746
0:0:0:0:0:0:0:1 - - [26/Oct/2022:10:15:39 +0900] "GET /w1026/w1026_01.html HTTP/1.1" 200 742
0:0:0:0:0:0:0:1 - - [26/Oct/2022:10:16:05 +0900] "GET /w1026/w1026_01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Oct/2022:10:23:54 +0900] "GET /w1026/w1026_01.html HTTP/1.1" 200 1539
0:0:0:0:0:0:0:1 - - [26/Oct/2022:10:26:21 +0900] "GET /w1026/w1026_01.html HTTP/1.1" 200 1583
